date,pm25,pm10,o3,no2,so2,co,temp,humidity,windspeedmean,precipitation_mm,Rained,Rain_Intensity
01-01-2018,327.0,375.0,12.0,14.0,2.1,20.3,12.5,82.6,1.9,0.0,False,No Rain
02-01-2018,388.0,237.0,10.0,13.0,2.7,16.4,11.8,85.6,4.3,0.0,False,No Rain
03-01-2018,276.0,202.0,15.0,13.0,3.0,14.5,11.1,86.6,6.7,0.0,False,No Rain
04-01-2018,271.0,195.0,12.0,13.0,2.5,14.8,10.9,86.3,5.7,0.0,False,No Rain
05-01-2018,267.0,262.0,12.0,13.0,3.1,15.5,11.7,81.3,7.0,0.0,False,No Rain
06-01-2018,317.0,193.0,12.0,13.0,2.7,15.3,11.2,79.7,4.4,0.0,False,No Rain
07-01-2018,247.0,187.0,12.0,14.0,4.4,12.6,12.1,73.4,10.2,0.0,False,No Rain
08-01-2018,231.0,246.0,13.0,15.0,3.4,15.8,12.3,70.4,5.9,0.0,False,No Rain
09-01-2018,278.0,181.0,11.0,15.0,3.6,14.5,12.6,72.6,6.2,0.0,False,No Rain
10-01-2018,245.0,163.0,12.0,14.0,5.1,11.4,13.8,68.4,11.7,0.0,False,No Rain
11-01-2018,217.0,194.0,11.0,14.0,4.6,12.3,13.9,67.0,10.7,0.0,False,No Rain
12-01-2018,226.0,262.0,13.0,14.0,3.8,15.3,14.7,63.3,6.8,0.0,False,No Rain
13-01-2018,242.0,172.0,14.0,14.0,3.2,14.4,14.3,66.1,4.8,0.0,False,No Rain
14-01-2018,126.0,232.0,12.0,14.0,2.8,14.9,14.3,63.2,5.7,0.0,False,No Rain
15-01-2018,130.0,170.0,16.0,14.0,3.6,12.4,13.9,70.4,9.0,0.0,False,No Rain
16-01-2018,159.0,194.0,15.0,14.0,4.2,12.8,15.2,58.8,8.8,0.0,False,No Rain
17-01-2018,254.0,325.0,16.0,14.0,4.3,16.1,14.4,71.2,8.5,0.0,False,No Rain
18-01-2018,367.0,264.0,11.0,13.0,3.0,16.8,16.6,73.6,3.7,0.0,False,No Rain
19-01-2018,190.0,360.0,5.0,31.0,11.0,16.0,15.1,80.1,5.7,0.0,False,No Rain
20-01-2018,316.0,440.0,9.0,44.0,23.0,15.0,13.9,73.5,8.4,0.0,False,No Rain
21-01-2018,131.0,257.0,31.0,39.0,9.0,21.0,14.3,65.0,3.7,0.0,False,No Rain
22-01-2018,222.0,300.0,43.0,57.0,13.0,17.0,15.3,67.2,5.2,0.0,False,No Rain
23-01-2018,235.0,245.0,12.0,49.0,11.0,16.0,13.5,83.6,10.7,7.0,True,Low
24-01-2018,227.0,172.0,27.0,35.0,16.0,15.0,12.6,89.2,7.5,1.0,True,Low
25-01-2018,198.0,149.0,15.0,30.0,10.0,13.0,11.8,93.2,9.3,0.0,False,No Rain
26-01-2018,201.0,178.0,23.0,32.0,11.0,16.0,11.7,90.5,5.9,0.0,False,No Rain
27-01-2018,211.0,242.0,31.0,38.0,14.0,16.0,12.6,82.1,5.5,0.0,False,No Rain
28-01-2018,187.0,232.0,35.0,32.0,8.0,17.0,13.1,77.8,6.1,0.0,False,No Rain
29-01-2018,184.0,182.0,32.0,43.0,20.0,19.0,13.9,74.8,6.3,0.0,False,No Rain
30-01-2018,192.0,180.0,35.0,36.0,15.0,23.0,16.9,64.8,12.4,0.0,False,No Rain
31-01-2018,200.0,191.0,33.0,32.0,18.0,13.0,16.9,71.2,13.7,0.0,False,No Rain
01-02-2018,197.0,232.0,37.0,53.0,24.0,23.0,18.4,63.3,5.2,0.0,False,No Rain
02-02-2018,195.0,220.0,34.0,42.0,12.0,17.0,17.9,69.3,6.6,0.0,False,No Rain
03-02-2018,196.0,160.0,41.0,40.0,17.0,13.0,16.8,58.4,6.7,0.0,False,No Rain
04-02-2018,242.0,178.0,3.0,39.0,17.0,11.0,15.1,60.1,9.0,0.0,False,No Rain
05-02-2018,220.0,201.0,34.0,46.0,18.0,13.0,14.8,56.1,6.1,0.0,False,No Rain
06-02-2018,237.0,198.0,29.0,42.0,19.0,13.0,16.1,54.8,9.2,0.0,False,No Rain
07-02-2018,209.0,162.0,41.0,42.0,21.0,13.0,15.0,58.1,8.9,0.0,False,No Rain
08-02-2018,234.0,193.0,35.0,47.0,20.0,27.0,14.7,60.8,4.0,0.0,False,No Rain
09-02-2018,290.0,271.0,47.0,52.0,21.0,38.0,15.4,60.2,4.9,0.0,False,No Rain
10-02-2018,302.0,343.0,45.0,68.0,21.0,46.0,16.3,55.5,2.6,0.0,False,No Rain
11-02-2018,217.0,215.0,28.0,41.0,15.0,19.0,18.0,50.0,11.1,2.2,True,Low
12-02-2018,174.0,115.0,17.0,18.0,10.0,10.0,16.5,71.7,12.9,3.5,True,Low
13-02-2018,186.0,110.0,31.0,29.0,11.0,10.0,16.6,76.0,6.9,0.0,False,No Rain
14-02-2018,155.0,98.0,32.0,21.0,9.0,7.0,15.8,65.6,11.9,0.0,False,No Rain
15-02-2018,175.0,114.0,35.0,22.0,12.0,9.0,16.9,67.6,12.7,0.0,False,No Rain
16-02-2018,183.0,134.0,39.0,31.0,14.0,20.0,17.5,72.2,9.1,0.0,False,No Rain
17-02-2018,221.0,163.0,37.0,33.0,15.0,16.0,18.4,68.5,9.3,0.0,False,No Rain
18-02-2018,214.0,148.0,43.0,34.0,12.0,14.0,18.3,64.0,7.0,0.0,False,No Rain
19-02-2018,245.0,219.0,42.0,45.0,15.0,26.0,18.5,57.8,5.2,0.0,False,No Rain
20-02-2018,257.0,231.0,52.0,45.0,17.0,26.0,19.6,60.1,6.5,0.0,False,No Rain
21-02-2018,228.0,254.0,58.0,58.0,15.0,56.0,22.5,54.5,3.4,0.0,False,No Rain
22-02-2018,216.0,199.0,31.0,46.0,15.0,23.0,22.9,61.2,3.1,0.0,False,No Rain
23-02-2018,199.0,195.0,42.0,80.0,18.0,27.0,23.8,58.8,3.6,0.0,False,No Rain
24-02-2018,241.0,239.0,26.0,111.0,15.0,22.0,24.6,58.0,6.8,2.5,True,Low
25-02-2018,193.0,150.0,40.0,89.0,14.0,11.0,23.1,60.6,9.4,0.2,True,Low
26-02-2018,149.0,97.0,34.0,48.0,11.0,7.0,20.8,65.7,14.5,0.0,False,No Rain
27-02-2018,167.0,112.0,36.0,29.0,12.0,11.0,22.5,64.1,10.2,0.0,False,No Rain
28-02-2018,193.0,151.0,46.0,33.0,16.0,13.0,23.2,67.1,4.8,0.0,False,No Rain
01-03-2018,181.0,144.0,39.0,35.0,13.0,16.0,22.8,60.0,5.6,0.0,False,No Rain
02-03-2018,203.0,147.0,33.0,39.0,11.0,22.0,23.5,57.6,5.6,0.5,True,Low
03-03-2018,184.0,129.0,31.0,28.0,15.0,11.0,24.5,55.7,4.7,0.2,True,Low
04-03-2018,156.0,109.0,33.0,23.0,12.0,9.0,23.1,55.2,9.1,1.8,True,Low
05-03-2018,146.0,100.0,38.0,27.0,11.0,9.0,21.9,58.1,9.5,0.0,False,No Rain
06-03-2018,164.0,107.0,37.0,28.0,12.0,8.0,21.0,58.7,13.8,0.0,False,No Rain
07-03-2018,211.0,139.0,17.0,31.0,16.0,10.0,21.7,56.2,9.7,0.0,False,No Rain
08-03-2018,165.0,86.0,82.0,20.0,14.0,6.0,23.4,53.1,4.5,0.0,False,No Rain
09-03-2018,169.0,129.0,44.0,35.0,16.0,11.0,24.2,53.1,6.5,0.5,True,Low
10-03-2018,130.0,107.0,36.0,28.0,8.0,9.0,24.1,52.3,10.9,0.0,False,No Rain
11-03-2018,162.0,118.0,49.0,34.0,12.0,12.0,23.9,55.8,8.7,0.0,False,No Rain
12-03-2018,196.0,151.0,42.0,38.0,15.0,14.0,25.0,51.5,8.1,0.0,False,No Rain
13-03-2018,188.0,169.0,42.0,37.0,13.0,13.0,26.5,46.2,5.8,0.0,False,No Rain
14-03-2018,164.0,306.0,33.0,38.0,11.0,13.0,26.6,37.3,6.1,0.0,False,No Rain
15-03-2018,178.0,261.0,27.0,31.0,13.0,11.0,25.5,45.1,10.8,0.0,False,No Rain
