pm25,pm10,o3,no2,so2,co,temp,humidity,windspeedmean,precipitation_mm,month,day,is_festive,AQI,AQHI
327.0,375.0,12.0,14.0,2.1,20.3,12.5,82.6,1.9,0.0,1,1,0,431.2168674698795,1.8720222461690028
388.0,237.0,10.0,13.0,2.7,16.4,11.8,85.6,4.3,0.0,1,2,0,455.4698795180723,2.1954037240737128
276.0,202.0,15.0,13.0,3.0,14.5,11.1,86.6,6.7,0.0,1,3,0,410.93975903614455,1.5985187443417288
271.0,195.0,12.0,13.0,2.5,14.8,10.9,86.3,5.7,0.0,1,4,0,408.95180722891564,1.5532389541334684
267.0,262.0,12.0,13.0,3.1,15.5,11.7,81.3,7.0,0.0,1,5,0,407.3614457831325,1.531503652477113
317.0,193.0,12.0,13.0,2.7,15.3,11.2,79.7,4.4,0.0,1,6,0,427.2409638554217,1.8062619888119373
247.0,187.0,12.0,14.0,4.4,12.6,12.1,73.4,10.2,0.0,1,7,0,397.69767441860466,1.4330790096737656
231.0,246.0,13.0,15.0,3.4,15.8,12.3,70.4,5.9,0.0,1,8,0,385.4186046511628,1.3627702821382106
278.0,181.0,11.0,15.0,3.6,14.5,12.6,72.6,6.2,0.0,1,9,0,411.73493975903614,1.6048900507297728
245.0,163.0,12.0,14.0,5.1,11.4,13.8,68.4,11.7,0.0,1,10,0,396.16279069767444,1.422323045108027
217.0,194.0,11.0,14.0,4.6,12.3,13.9,67.0,10.7,0.0,1,11,0,374.6744186046512,1.2669889894262556
226.0,262.0,13.0,14.0,3.8,15.3,14.7,63.3,6.8,0.0,1,12,0,381.5813953488372,1.3265364296071296
242.0,172.0,14.0,14.0,3.2,14.4,14.3,66.1,4.8,0.0,1,13,0,393.8604651162791,1.4180522786900205
126.0,232.0,12.0,14.0,2.8,14.9,14.3,63.2,5.7,0.0,1,14,0,304.83720930232556,0.8008371891822945
130.0,170.0,16.0,14.0,3.6,12.4,13.9,70.4,9.0,0.0,1,15,0,307.90697674418607,0.8435895307171746
159.0,194.0,15.0,14.0,4.2,12.8,15.2,58.8,8.8,0.0,1,16,0,330.16279069767444,0.986654795239775
254.0,325.0,16.0,14.0,4.3,16.1,14.4,71.2,8.5,0.0,1,17,0,402.1927710843373,1.4946462281204957
367.0,264.0,11.0,13.0,3.0,16.8,16.6,73.6,3.7,0.0,1,18,0,447.12048192771084,2.0815098918622534
190.0,360.0,5.0,31.0,11.0,16.0,15.1,80.1,5.7,0.0,1,19,0,353.95348837209303,1.2499822598375445
316.0,440.0,9.0,44.0,23.0,15.0,13.9,73.5,8.4,0.0,1,20,0,426.8433734939759,2.0942664579406602
131.0,257.0,31.0,39.0,9.0,21.0,14.3,65.0,3.7,0.0,1,21,0,323.8461538461538,1.1655297221891807
222.0,300.0,43.0,57.0,13.0,17.0,15.3,67.2,5.2,0.0,1,22,0,378.51162790697674,1.9061329516448062
235.0,245.0,12.0,49.0,11.0,16.0,13.5,83.6,10.7,7.0,1,23,0,388.48837209302326,1.708706119560639
227.0,172.0,27.0,35.0,16.0,15.0,12.6,89.2,7.5,1.0,1,24,0,382.34883720930236,1.6180816219928567
198.0,149.0,15.0,30.0,10.0,13.0,11.8,93.2,9.3,0.0,1,25,0,360.09302325581393,1.341580962350091
201.0,178.0,23.0,32.0,11.0,16.0,11.7,90.5,5.9,0.0,1,26,0,362.3953488372093,1.4240561012520734
211.0,242.0,31.0,38.0,14.0,16.0,12.6,82.1,5.5,0.0,1,27,0,370.06976744186045,1.584084534441039
187.0,232.0,35.0,32.0,8.0,17.0,13.1,77.8,6.1,0.0,1,28,0,351.6511627906977,1.4199281224042126
184.0,182.0,32.0,43.0,20.0,19.0,13.9,74.8,6.3,0.0,1,29,0,349.3488372093023,1.4919912480316573
192.0,180.0,35.0,36.0,15.0,23.0,16.9,64.8,12.4,0.0,1,30,0,355.48837209302326,1.485439829130863
200.0,191.0,33.0,32.0,18.0,13.0,16.9,71.2,13.7,0.0,1,31,0,361.62790697674416,1.4780935152467798
197.0,232.0,37.0,53.0,24.0,23.0,18.4,63.3,5.2,0.0,2,1,0,359.3255813953488,1.6906359795042876
195.0,220.0,34.0,42.0,12.0,17.0,17.9,69.3,6.6,0.0,2,2,0,357.7906976744186,1.553920260950854
196.0,160.0,41.0,40.0,17.0,13.0,16.8,58.4,6.7,0.0,2,3,0,358.5581395348837,1.5819232454662178
